ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotUsingRelativePath,"rocksdbjni",loadLibrary,RocksDB,org.rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\java\src\main\java\org\rocksdb\RocksDB.java,RocksDB.java
CS2,NotSecuringLibraries,path + "/" +
              Environment.getJniLibraryFileName("rocksdbjni"),loadLibrary,RocksDB,org.rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\java\src\main\java\org\rocksdb\RocksDB.java,RocksDB.java
CS3,NotSecuringLibraries,sharedLibraryName,loadLibrary,NativeLibraryLoader,org.rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\java\src\main\java\org\rocksdb\NativeLibraryLoader.java,NativeLibraryLoader.java
CS4,NotSecuringLibraries,jniLibraryName,loadLibrary,NativeLibraryLoader,org.rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\java\src\main\java\org\rocksdb\NativeLibraryLoader.java,NativeLibraryLoader.java
CS5,NotSecuringLibraries,"rocksdbjni",loadLibrary,RocksDB,org.rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\java\src\main\java\org\rocksdb\RocksDB.java,RocksDB.java
CS6,NotSecuringLibraries,compressionType.getLibraryName(),loadLibrary,RocksDB,org.rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\java\src\main\java\org\rocksdb\RocksDB.java,RocksDB.java
CS7,NotSecuringLibraries,path + "/" + Environment.getSharedLibraryFileName(
                compressionType.getLibraryName()),loadLibrary,RocksDB,org.rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\java\src\main\java\org\rocksdb\RocksDB.java,RocksDB.java
CS8,NotSecuringLibraries,loadLibraryFromJarToTemp(tmpDir).getAbsolutePath(),loadLibraryFromJar,NativeLibraryLoader,org.rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\java\src\main\java\org\rocksdb\NativeLibraryLoader.java,NativeLibraryLoader.java
CS9,NotSecuringLibraries,tmpDir,loadLibraryFromJar,NativeLibraryLoader,org.rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\java\src\main\java\org\rocksdb\NativeLibraryLoader.java,NativeLibraryLoader.java
CS10,NotSecuringLibraries,compressionType.getLibraryName(),,DbBenchmark,org.rocksdb.benchmark,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\java\benchmark\src\main\java\org\rocksdb\benchmark\DbBenchmark.java,DbBenchmark.java
CS11,UnusedParameters,version,InternalStats::HandleNumRunningFlushes,,rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\db\internal_stats.cc,internal_stats.cc
CS12,UnusedParameters,new_value,Filter,KeepFilter,rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\db\db_compaction_filter_test.cc,db_compaction_filter_test.cc
CS13,UnusedParameters,key,Get,DocumentDBImpl,rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\utilities\document\document_db.cc,document_db.cc
CS14,UnusedParameters,no_io,FullFilterBlockReader::KeyMayMatch,,rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\table\full_filter_block.cc,full_filter_block.cc
CS15,UnusedParameters,histData,histogramCallback,StatsCallbackMock,org.rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\java\src\test\java\org\rocksdb\StatsCallbackMock.java,StatsCallbackMock.java
CS16,UnusedParameters,logger,FullMerge,PutOperatorV2,rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\utilities\merge_operators\put.cc,put.cc
CS17,UnusedParameters,value,GetIntProperty,ModelDB,rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\db\db_test.cc,db_test.cc
CS18,UnusedParameters,options,HdfsEnv::NewSequentialFile,,rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\env\env_hdfs.cc,env_hdfs.cc
CS19,UnusedParameters,file_size,CompactOnDeletionCollector::AddUserKey,,rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\utilities\table_properties_collectors\compact_on_deletion_collector.cc,compact_on_deletion_collector.cc
CS20,UnusedParameters,internal_comparator,FinishImpl,DBConstructor,rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\table\table_test.cc,table_test.cc
CS21,UnusedParameters,state_counts[],UpdateStatusCounts,,rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\util\thread_list_test.cc,thread_list_test.cc
CS22,UnusedParameters,new_value,Filter,Benchmark,rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\tools\db_bench_tool.cc,db_bench_tool.cc
CS23,UnusedParameters,scratch,PosixMmapReadableFile::Read,,rocksdb,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_26\env\io_posix.cc,io_posix.cc
