Id_Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Version,Release
1,CS1,MemoryManagementMismatch,ShortArrayElements,JNI_getShortArrayElements,,,pljava-1_4_3/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_4_3,9/15/2011
2,CS2,MemoryManagementMismatch,DoubleArrayElements,JNI_getDoubleArrayElements,,,pljava-1_4_3/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_4_3,9/15/2011
3,CS3,MemoryManagementMismatch,StringUTFChars,JNI_getStringUTFChars,,,pljava-1_4_3/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_4_3,9/15/2011
4,CS4,MemoryManagementMismatch,BooleanArrayElements,JNI_getBooleanArrayElements,,,pljava-1_4_3/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_4_3,9/15/2011
5,CS5,MemoryManagementMismatch,FloatArrayElements,JNI_getFloatArrayElements,,,pljava-1_4_3/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_4_3,9/15/2011
6,CS6,MemoryManagementMismatch,ByteArrayElements,JNI_getByteArrayElements,,,pljava-1_4_3/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_4_3,9/15/2011
7,CS7,MemoryManagementMismatch,IntArrayElements,JNI_getIntArrayElements,,,pljava-1_4_3/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_4_3,9/15/2011
8,CS8,MemoryManagementMismatch,LongArrayElements,JNI_getLongArrayElements,,,pljava-1_4_3/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_4_3,9/15/2011
9,CS9,NotHandlingExceptions,className,JNI_findClass,,,pljava-1_4_3/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_4_3,9/15/2011
10,CS10,NotHandlingExceptions,name,JNI_getMethodID,,,pljava-1_4_3/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_4_3,9/15/2011
11,CS11,NotHandlingExceptions,name,JNI_getStaticMethodIDOrNull,,,pljava-1_4_3/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_4_3,9/15/2011
12,CS12,NotHandlingExceptions,name,JNI_getFieldID,,,pljava-1_4_3/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_4_3,9/15/2011
13,CS13,NotHandlingExceptions,name,JNI_getStaticMethodID,,,pljava-1_4_3/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_4_3,9/15/2011
14,CS14,NotHandlingExceptions,name,JNI_getStaticFieldID,,,pljava-1_4_3/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_4_3,9/15/2011
15,CS15,UnusedDeclaration,,_isFiredByInsert,TriggerData,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_4_3,9/15/2011
16,CS16,UnusedDeclaration,,_getInternalPos,ErrorData,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_4_3,9/15/2011
17,CS17,UnusedDeclaration,,_formTuple,TupleDesc,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/TupleDesc.java,TupleDesc.java,pljava,pljava-1_4_3,9/15/2011
18,CS18,UnusedDeclaration,,_free,TupleDesc,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/TupleDesc.java,TupleDesc.java,pljava,pljava-1_4_3,9/15/2011
19,CS19,UnusedDeclaration,,_isFiredAfter,TriggerData,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_4_3,9/15/2011
20,CS20,UnusedDeclaration,,_getFuncname,ErrorData,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_4_3,9/15/2011
21,CS21,UnusedDeclaration,,_isFiredByDelete,TriggerData,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_4_3,9/15/2011
22,CS22,UnusedDeclaration,,_getRelation,TriggerData,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_4_3,9/15/2011
23,CS23,UnusedDeclaration,,_getNestingLevel,Invocation,org.postgresql.pljava.jdbc,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/jdbc/Invocation.java,Invocation.java,pljava,pljava-1_4_3,9/15/2011
24,CS24,UnusedDeclaration,,_getSessionUser,AclId,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-1_4_3,9/15/2011
25,CS25,UnusedDeclaration,,_exec,SPI,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/SPI.java,SPI.java,pljava,pljava-1_4_3,9/15/2011
26,CS26,UnusedDeclaration,,_fetch,Portal,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/Portal.java,Portal.java,pljava,pljava-1_4_3,9/15/2011
27,CS27,UnusedDeclaration,,_fromName,AclId,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-1_4_3,9/15/2011
28,CS28,UnusedDeclaration,,_getOid,TupleDesc,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/TupleDesc.java,TupleDesc.java,pljava,pljava-1_4_3,9/15/2011
29,CS29,UnusedDeclaration,,_isShowFuncname,ErrorData,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_4_3,9/15/2011
30,CS30,UnusedDeclaration,,_getResult,SPI,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/SPI.java,SPI.java,pljava,pljava-1_4_3,9/15/2011
31,CS31,UnusedDeclaration,,_cursorOpen,ExecutionPlan,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/ExecutionPlan.java,ExecutionPlan.java,pljava,pljava-1_4_3,9/15/2011
32,CS32,UnusedDeclaration,,_release,PgSavepoint,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/PgSavepoint.java,PgSavepoint.java,pljava,pljava-1_4_3,9/15/2011
33,CS33,UnusedDeclaration,,_getUser,AclId,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-1_4_3,9/15/2011
34,CS34,UnusedDeclaration,,_readByte,SQLInputFromChunk,org.postgresql.pljava.jdbc,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/jdbc/SQLInputFromChunk.java,SQLInputFromChunk.java,pljava,pljava-1_4_3,9/15/2011
35,CS35,UnusedDeclaration,,_clearFunctionCache,Backend,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/Backend.java,Backend.java,pljava,pljava-1_4_3,9/15/2011
36,CS36,UnusedDeclaration,,_hasSchemaCreatePermission,AclId,org.postgresql.pljava.internal,pljava-1_4_3/src/java/pljava/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-1_4_3,9/15/2011
